address,id,eyes,ears,mouth,horn,back,tail,class,breedcount,speed
0x6712c5341839ae24eb6c846cf93ab3636e2a8a67,11292214,eyes-papi,ears-sakura,mouth-mosquito,horn-cactus,back-bidens,tail-hatsune,Plant,2,31
0xe915e887f4ed3383ca2f821f26cd658ee42b4d43,5711382,eyes-tricky,ears-lotus,mouth-herbivore,horn-leaf-bug,back-pumpkin,tail-yam,Plant,3,32
0xe915e887f4ed3383ca2f821f26cd658ee42b4d43,10188117,eyes-gecko,ears-bubblemaker,mouth-toothless-bite,horn-cerastes,back-garish-worm,tail-grass-snake,Dusk,0,46
0xe915e887f4ed3383ca2f821f26cd658ee42b4d43,11212340,eyes-telescope,ears-early-bird,mouth-tiny-turtle,horn-wing-horn,back-scarab,tail-grass-snake,Dusk,3,50
0xc32aeb1d3ec6ece1447264e509cfd375ef482e31,11251101,eyes-confused,ears-pogona,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,3,33
0xc32aeb1d3ec6ece1447264e509cfd375ef482e31,11269189,eyes-neo,ears-pink-cheek,mouth-mosquito,horn-parasite,back-snail-shell,tail-cottontail,Bug,4,35
0xc32aeb1d3ec6ece1447264e509cfd375ef482e31,11281368,eyes-mavis,ears-curly,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,1,61
0xcb4a19970c0b14af97a62fb8fc850b745d32490d,4930273,eyes-mavis,ears-risky-bird,mouth-peace-maker,horn-eggshell,back-kingfisher,tail-post-fight,Bird,3,61
0xcb4a19970c0b14af97a62fb8fc850b745d32490d,11278529,eyes-confused,ears-gill,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,2,43
0xcb4a19970c0b14af97a62fb8fc850b745d32490d,11287574,eyes-cucumber-slice,ears-leafy,mouth-mosquito,horn-caterpillars,back-snail-shell,tail-twin-tail,Bug,2,31
0x325d73aaa786273427eb5222cc5d0f3c1a3462a0,11265893,eyes-scar,ears-hollow,mouth-zigzag,horn-scaly-spear,back-sandal,tail-cattail,Plant,2,33
0x325d73aaa786273427eb5222cc5d0f3c1a3462a0,11279091,eyes-confused,ears-nimo,mouth-goda,horn-scaly-spear,back-sandal,tail-rice,Dusk,3,45
